meşhur	Meşhur			arabaşı yemeği vardır	arabaşı yemeği vardır	capital	word
BiyokimyacıIsaac	Biyokimyacı Isaac	1920 - 500'e yakın kitap yazan Amerika'lı Yazar ve	1920 - 500'e yakın kitap yazan Amerika'lı Yazar ve	Asimov	Asimov	space:split	nonword
yunan	Yunan	Bizanslılar Osmanlılara karşı kullanmıştır.M.S. 660 larda zift, reçine, kükürt, nafta, kireç ve güherçile ile	. M.S. 660'larda zift, reçine, kükürt, nafta, kireç ve güherçile ile	ateşi zenginleştirilmiştir	ateşi zenginleştirilmiştir	capital	word
itibariyle	itibarıyla	. 2015 yılı itibarıyla Çengelköy Yerleşkesi'ne taşınmıştır.. 2018 yılı	. 2015 yılı itibarıyla Çengelköy Yerleşkesi'ne taşınmıştır.. 2018 yılı	adı İzmir Kavram Meslek okulu olarak değiştirilmiş ve merkezi İzmir iline taşınmıştır.http://www.resmigazete.gov.tr/eskiler/2018/03/20180315-6.pdf	adı İzmir Kavram Meslek okulu olarak değiştirilmiş ve merkezi İzmir iline taşınmıştır.http://www.resmigazete.gov.tr/eskiler/2018/03/20180315-6.pdf	noise:sub	word
Çekoslavakya	Çekoslovakya					noise:sub	nonword
Ptt	PTT	Köyde ilköğretim okulu yoktur. Köyün içme suyu şebekesi ve kanalizasyon şebekesi yoktur.	Köyde ilköğretim okulu yoktur. Köyün içme suyu şebekesi ve kanalizasyon şebekesi yoktur.	şubesi ve ptt acentesi yoktur	şubesi ve PTT acentesi yoktur	capital	nonword
2km	2 km			birbirine olan ve Çatalağzı Termik Santrali ve Karadeniz santraller yakın Eren Limanıdan italat bitümlü kömür yakar	birbirine yakınlığı olan ve Çatalağzı Termik Santrali ve Karadeniz; Eren Limanından italat bitümlü kömür yakar	space:split	nonword
1693de	1693'te	. Antik çağlardan (kabaca M.Ö. 2000den) kalma sşehir	. Şehir iki ana kısımdan oluşmuştur: "Ragusa Superiore (Yukarı Ragusa)" ve "Ragusa İbla". Antik çağlardan (kabaca MÖ 2000'den) kalma sşehir	çok büyük bir depremle yerle bir olmuş ve sonradan 18	çok büyük bir depremle yerle bir olmuş ve sonradan 18	noise:other	nonword
Üniversitesi'nden	Üniversitesinden	2007 yılında Bilecik Üniversitesi'nin kurulmasıyla Bilecik İktisadi ve İdari Bilimler Fakültesi ile Bilecik'in Gölpazarı, Osmaneli, Pazaryeri ve Söğüt ilçelerindeki meslek yüksekokulları Dumlupınar	2007 yılında Bilecik Üniversitesinin kurulmasıyla Bilecik İktisadi ve İdari Bilimler Fakültesi ile Bilecik'in Gölpazarı, Osmaneli, Pazaryeri ve Söğüt ilçelerindeki meslek yüksekokulları Dumlupınar	ayrılarak, bugünkü adıyla Bilecik Şeyh Edebali Üniversitesi'ne bağlanmıştır	ayrılarak, bugünkü adıyla Bilecik Şeyh Edebali Üniversitesine bağlanmıştır	punct	word
oybirliğiyle	oy birliğiyle	1938 - TBMM, İsmet İnönü'yü	1938 - TBMM, İsmet İnönü'yü	Cumhurbaşkanı seçti	Cumhurbaşkanı seçti	space:split	word
Tartısılmaz	Tartışılmaz	Mahir Çayan Ve 10 Yoldaşının Eylem Hazırlıgı İçinde Bulundugu Ama yetkililerin takibi üzerine bulunup katledildiği köydür.Erturul Kürkçü samanlığa saklandı. Ama Ne Yazıkki	Mahir ÇAYAN Ve 10 Yoldaşının Eylem Hazırlıgı İçinde Bulundugu Ama yetkililerin takibi üzerine bulunup katledildiği köydür.Erturul Kürkçü samanlığa saklandı. Ama Ne Yazıkki	Teorisyen Ve Lider Mahir Ve 9 yoldaşı can vermiştir	Teorisyen Ve Lider MAHİR Ve 9 yoldaşı can vermiştir	ascii	nonword
